order_item_id,order_id,product_id,quantity,unit_price
1,2389,41,5,46025
2,2437,74,4,31216
3,373,170,2,6241
4,647,52,4,30116
5,1913,138,3,16853
6,3986,71,2,7105
7,4314,28,3,27305
8,3695,166,3,43899
9,3908,9,5,30944
10,794,64,4,3472
11,2135,140,5,37428
12,2556,79,5,223
13,1555,122,1,21804
14,1472,62,5,11477
15,4299,58,1,32656
16,3477,154,1,23721
17,201,24,1,9686
18,4021,105,5,34559
19,4221,52,4,30116
20,1867,31,2,44956
21,3788,133,2,38795
22,4660,75,4,47767
23,1080,191,5,7520
24,2170,16,4,32874
25,4254,156,1,25003
26,3693,19,4,25110
27,870,88,2,46597
28,4493,57,2,31572
29,447,159,4,4570
30,2701,133,4,38795
31,2863,170,5,6241
32,2739,178,1,47568
33,106,12,1,12106
34,1733,51,3,20585
35,764,90,4,9165
36,448,163,2,38101
37,1772,196,1,24583
38,1012,82,3,18139
39,117,195,2,7021
40,4243,20,4,39766
41,2365,70,1,26772
42,4218,129,2,33887
43,213,90,5,9165
44,4049,132,1,45375
45,1534,88,4,46597
46,4966,90,3,9165
47,987,117,4,41022
48,1692,191,1,7520
49,3696,184,3,44788
50,1669,179,4,48741
51,3110,115,4,12955
52,3658,77,4,41568
53,3102,92,4,6310
54,2754,153,5,14263
55,4204,140,3,37428
56,553,23,2,3737
57,3139,23,5,3737
58,625,34,3,40017
59,4291,41,4,46025
60,4545,192,2,16038
61,2160,33,4,17438
62,3392,112,1,28351
63,501,74,1,31216
64,1937,60,5,8409
65,2414,117,4,41022
66,3363,7,3,31920
67,3760,174,5,25034
68,325,86,1,29608
69,306,91,3,13372
70,3579,89,2,13038
71,4555,182,1,13435
72,4777,103,1,35913
73,534,79,2,223
74,4011,49,4,47840
75,4189,89,4,13038
76,1261,46,3,41739
77,4020,174,5,25034
78,4148,103,1,35913
79,494,173,4,34022
80,4792,50,5,43611
81,2488,93,5,45858
82,3907,51,1,20585
83,1005,160,4,21740
84,3755,2,4,15797
85,2514,132,3,45375
86,4163,119,5,37787
87,4819,84,1,30502
88,4097,136,2,46222
89,3108,133,3,38795
90,4177,118,1,48237
91,2323,129,3,33887
92,4142,78,5,18763
93,2665,131,4,13116
94,1349,103,3,35913
95,3409,144,4,17561
96,365,43,2,40356
97,3934,2,4,15797
98,2868,29,5,45303
99,3747,35,4,44784
100,3804,145,5,40987
101,644,52,5,30116
102,4722,43,1,40356
103,4505,9,1,30944
104,718,106,2,47164
105,2967,118,4,48237
106,4824,137,5,8464
107,2816,48,1,19677
108,1422,42,4,21688
109,1681,140,5,37428
110,3134,74,3,31216
111,4016,13,1,26139
112,2566,30,2,40401
113,831,51,5,20585
114,3738,194,5,3688
115,740,47,4,5913
116,1506,32,5,19540
117,1194,44,1,40935
118,1699,59,2,42458
119,2671,23,1,3737
120,2078,85,3,36648
121,30,200,3,38685
122,1173,101,3,12724
123,3148,122,1,21804
124,1857,51,5,20585
125,3680,68,4,48557
126,3000,6,3,48977
127,2273,120,2,47115
128,3867,150,2,20032
129,2528,18,4,28350
130,2802,21,4,12513
131,1548,127,1,43187
132,4965,187,1,27280
133,1759,157,1,6347
134,494,98,1,4678
135,2132,23,2,3737
136,4037,199,4,23795
137,3615,172,5,39428
138,1102,127,4,43187
139,3309,75,2,47767
140,3179,181,5,49961
141,2948,81,2,2528
142,4830,179,5,48741
143,1200,68,1,48557
144,3853,22,3,2765
145,643,41,4,46025
146,4585,191,1,7520
147,418,89,2,13038
148,1275,54,2,27912
149,1492,136,5,46222
150,4369,56,4,28306
151,1944,144,2,17561
152,4064,184,4,44788
153,1644,51,1,20585
154,1325,127,2,43187
155,4343,196,5,24583
156,40,32,2,19540
157,2263,138,5,16853
158,1459,19,1,25110
159,3801,148,3,9790
160,2790,2,4,15797
161,2784,178,5,47568
162,2157,43,5,40356
163,4261,118,1,48237
164,4591,47,4,5913
165,682,46,1,41739
166,2445,62,3,11477
167,285,179,3,48741
168,4416,54,3,27912
169,3813,54,3,27912
170,3099,164,2,38160
171,717,131,3,13116
172,2220,168,1,45051
173,2718,167,3,48120
174,914,142,4,22190
175,1667,70,1,26772
176,4251,172,4,39428
177,2309,18,1,28350
178,2524,169,2,26889
179,2644,163,1,38101
180,3070,60,4,8409
181,3903,26,2,31673
182,4924,91,1,13372
183,4030,173,4,34022
184,3559,77,3,41568
185,86,68,1,48557
186,4137,198,3,28671
187,3278,80,3,11540
188,3011,178,5,47568
189,296,93,5,45858
190,955,171,3,6316
191,4464,169,1,26889
192,4149,48,1,19677
193,4841,166,3,43899
194,4964,100,2,32532
195,219,120,3,47115
196,3789,82,2,18139
197,2388,196,3,24583
198,402,99,1,37869
