order_id,customer_id,order_date
1,380,2025-12-16
2,836,2025-12-09
3,552,2025-08-29
4,23,2025-12-17
5,863,2025-09-23
6,284,2025-06-03
7,586,2025-05-03
8,402,2025-12-07
9,555,2025-07-18
10,680,2025-02-02
11,972,2025-04-06
12,724,2025-09-20
13,555,2025-09-07
14,560,2025-01-23
15,215,2025-07-11
16,661,2025-07-31
17,438,2025-07-10
18,28,2025-12-12
19,712,2025-04-21
20,398,2025-05-05
21,208,2025-09-22
22,526,2025-03-30
23,146,2025-03-06
24,499,2025-02-25
25,663,2025-09-19
26,424,2025-08-05
27,663,2025-11-11
28,403,2025-03-26
29,140,2025-07-01
30,976,2025-09-11
31,983,2025-06-14
32,1,2025-10-04
33,710,2025-03-24
34,476,2025-03-14
35,698,2025-08-12
36,862,2025-03-11
37,823,2025-11-10
38,887,2025-11-20
39,411,2025-05-19
40,915,2025-02-03
41,446,2025-01-31
42,262,2025-02-17
43,272,2025-05-26
44,637,2025-11-29
45,296,2025-05-08
46,273,2025-11-17
47,959,2025-05-21
48,250,2025-04-28
49,967,2025-03-22
50,533,2025-03-27
51,578,2025-09-01
52,160,2025-04-28
53,729,2025-04-22
54,975,2025-08-30
55,287,2025-04-01
56,125,2025-10-01
57,489,2025-12-23
58,678,2025-09-23
59,59,2025-10-10
60,415,2025-11-06
61,849,2025-04-26
62,493,2025-02-02
63,455,2025-04-28
64,793,2025-11-05
65,150,2025-11-08
66,659,2025-12-06
67,696,2025-08-15
68,10,2025-09-22
69,618,2025-10-29
70,612,2025-02-24
71,649,2025-12-22
72,85,2025-11-01
73,137,2025-04-04
74,497,2025-08-19
75,330,2025-01-17
76,208,2025-02-13
77,485,2025-01-09
78,215,2025-01-28
79,890,2025-03-17
80,999,2025-04-06
81,279,2025-02-12
82,140,2025-04-26
83,461,2025-06-12
84,304,2025-09-23
85,177,2025-01-30
86,816,2025-10-18
87,366,2025-02-14
88,375,2025-03-02
89,624,2025-02-14
90,383,2025-07-22
91,48,2025-01-30
92,203,2025-04-09
93,83,2025-11-14
94,430,2025-10-16
95,700,2025-09-08
96,919,2025-03-04
97,477,2025-04-21
98,255,2025-03-12
99,256,2025-05-06
100,248,2025-08-06
101,597,2025-06-05
102,568,2025-11-21
103,144,2025-08-13
104,862,2025-06-02
105,247,2025-01-17
106,440,2025-03-20
107,77,2025-09-13
108,638,2025-10-30
109,770,2025-11-10
110,43,2025-04-24
111,172,2025-03-25
112,791,2025-11-16
113,472,2025-12-03
114,558,2025-09-06
115,879,2025-04-26
116,837,2025-01-27
117,957,2025-03-13
118,620,2025-03-12
119,948,2025-01-09
120,326,2025-07-17
121,429,2025-04-08
122,296,2025-11-06
123,944,2025-07-27
124,499,2025-04-28
125,248,2025-12-21
126,948,2025-04-28
127,334,2025-08-06
128,789,2025-10-22
129,103,2025-01-16
130,427,2025-03-15
131,982,2025-02-22
132,383,2025-10-22
